serial_number,device_model,customer_name,a4_mono,a4_colour,a3_mono,a3_colour,scans,reading_date
E82267A5N408495,DUMMY DEVICE FOR C-EXV 10,SEFUFULE PRIMARY,0,0,0,0,0,2026-09-09
23A14717,iR-ADV DX 527i,SEFUFULE PRIMARY,0,0,0,0,0,2026-09-09
3VS47271,i-SENSYS X C1333i,SHELL-BENDOR,75191,22947,0,0,0,2026-09-09
CNCRDPD60WB,DUMMY DEVICE FOR C-EXV 10,SIBANDA PETROLEUM AND HAZARDOUS WASTE SER,0,0,0,0,0,2026-09-09
E82267C6N608710,DUMMY DEVICE FOR C-EXV 10,SITHOLE RHISUNA ATT,0,0,0,0,0,2026-09-09
4MM34107,iR-ADV DX C3926i,SKONYE TRADING ENTERPRISE PTY LTD,11480,13212,0,0,2,2026-09-09
4CM13606,iR-ADV DX C3822i,SMV CIVIL ENGINEERS,126700,257392,0,2,13,2026-09-09
4UX28329,i-SENSYS X 1440i,STRONG TOWER BIBLE CHURCH,13651,0,0,0,0,2026-09-09
2TU08592,iR 1643i,TAU HARDWARE,53504,0,0,0,0,2026-05-05
2TU08401,iR 1643i,TAU HARDWARE,97675,0,0,0,0,2026-09-09
35D23531,iR 1643iF II,TAU HARDWARE,38581,0,0,0,0,2026-09-09
23A15151,iR-ADV DX 527i,TEKO PRIVATE TESTING STATION,246921,0,0,0,6,2026-09-09
WVV09477,iR C3025i,TFD POLOKWANE BROKERS,28425,1612,0,0,2,2026-09-09
34X16700,iR 1643i II,THEO GOOSEN ESTATE AGENCY & AUCTIONEERS,89467,0,0,0,0,2026-09-08
CNB1N6JODZ,DUMMY DEVICE FOR C-EXV 10,THORISHO MAKGATI ATTORNEYS,0,0,0,0,0,2026-09-09
4CM04139,iR-ADV DX C3822i,THUNDERFLEX 3 PTY LTD,265049,6543,0,0,9,2026-09-09
3VR34255,i-SENSYS X C1333iF,THUNDERFLEX 3 PTY LTD,2122,465,0,0,0,2026-09-09
2UF21692,iR-ADV DX C357i,TSHIKOVHI INC ATTORNEYS,214457,42208,0,0,8,2026-09-09
2YM61825,iR-ADV DX C5840i,TSHIKOVHI INC ATTORNEYS,59263,22968,0,0,2,2026-09-09
CZBBSCW0QV,DUMMY DEVICE FOR C-EXV 10,TSOTETSI PROJECTS AND LOGISTICS,0,0,0,0,0,2026-09-09
CNB1Q6G279,DUMMY DEVICE FOR C-EXV 10,TV MUDZULI T/A MUDZULI ATT,0,0,0,0,0,2026-09-09
4HX41316,iR-ADV DX C259i,TWIN BROTHERS HOLDINGS PTY LTD,3549,13089,0,0,1,2026-02-03
2WG00621,iR-ADV 615i III,TYSHOGYN PTY LTD,151310,0,0,0,4,2026-09-09
22E30771,iR-ADV DX C3725i,UNICARE,344131,111234,0,8,9,2026-09-08
2HD01484,iR-ADV C475i III,VERVEEN ATTORNEYS,268503,168561,0,0,18,2026-06-19
2TT15271,iR 1643iF,VISION VICTORIOUS ENTERPRISE PTY LTD,49567,0,0,0,0,2026-09-09
4UX06711,i-SENSYS X 1440i,VISION VICTORIOUS ENTERPRISE PTY LTD,4022,0,0,0,0,2026-09-09
2ER55206,iR-ADV DX C257i,VISION VICTORIOUS ENTERPRISE PTY LTD,47194,1500,0,0,2,2026-09-09
3VR44775,i-SENSYS X C1333iF,VOTION STUDIO PTY LTD,13507,3829,0,0,0,2026-09-09
2ER22415,iR-ADV DX C257i,VSA LEBOA CONSULTING (PTY)LTD,8911,9711,0,0,2,2026-09-08
35D28099,iR 1643iF II,VYNA TARPAULINS BK H/A ALL SEASONS FUNCT,9139,0,0,0,0,2026-09-09
2YM56946,iR-ADV DX C5840i,WORKSAFE T/A FISHOF 1463,71421,92532,0,0,6,2026-09-09
23A15127,iR-ADV DX 527i,XTRAPARTS MATERIAL HANDLING SOLUTIONS,161185,0,0,0,4,2026-09-08
35D30073,iR 1643iF II,XTRAPARTS MATERIAL HANDLING SOLUTIONS,13,0,0,0,0,2026-05-19
3EB04891,iR C1538iF,YASEEN GANI T/A YASEEN GANI FINANCIAL ADV,53806,10537,0,0,7,2026-09-09
